2022-09-28 09:50:17,998 INFO  StartupInfoLogger:55 - [] Starting SpringBootCityClassifyProjectApplication using Java 17.0.3 on DESKTOP-BM8A0CM with PID 8200 (C:\Users\Pranav\eclipse-workspace\SpringBootCityClassifyProject\target\classes started by Pranav in C:\Users\Pranav\eclipse-workspace\SpringBootCityClassifyProject)
2022-09-28 09:50:18,011 INFO  SpringApplication:634 - [] No active profile set, falling back to 1 default profile: "default"
2022-09-28 09:50:18,117 INFO  DeferredLog:255 - [] Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-09-28 09:50:18,117 INFO  DeferredLog:255 - [] For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-09-28 09:50:19,827 INFO  RepositoryConfigurationDelegate:132 - [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-09-28 09:50:19,935 INFO  RepositoryConfigurationDelegate:201 - [] Finished Spring Data repository scanning in 95 ms. Found 3 JPA repository interfaces.
2022-09-28 09:50:21,549 INFO  TomcatWebServer:108 - [] Tomcat initialized with port(s): 8081 (http)
2022-09-28 09:50:21,569 INFO  DirectJDKLog:173 - [] Starting service [Tomcat]
2022-09-28 09:50:21,570 INFO  DirectJDKLog:173 - [] Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-09-28 09:50:21,737 INFO  DirectJDKLog:173 - [] Initializing Spring embedded WebApplicationContext
2022-09-28 09:50:21,738 INFO  ServletWebServerApplicationContext:292 - [] Root WebApplicationContext: initialization completed in 3619 ms
2022-09-28 09:50:22,055 INFO  LogHelper:31 - [] HHH000204: Processing PersistenceUnitInfo [name: default]
2022-09-28 09:50:22,191 INFO  Version:44 - [] HHH000412: Hibernate ORM core version 5.6.10.Final
2022-09-28 09:50:22,534 INFO  JavaReflectionManager:56 - [] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-09-28 09:50:22,784 INFO  HikariDataSource:110 - [] HikariPool-1 - Starting...
2022-09-28 09:50:23,576 INFO  HikariDataSource:123 - [] HikariPool-1 - Start completed.
2022-09-28 09:50:23,611 INFO  Dialect:175 - [] HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2022-09-28 09:50:25,011 INFO  JtaPlatformInitiator:52 - [] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-09-28 09:50:25,022 INFO  AbstractEntityManagerFactoryBean:437 - [] Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-09-28 09:50:25,103 WARN  JpaBaseConfiguration$JpaWebConfiguration:219 - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-09-28 09:50:26,537 INFO  OptionalLiveReloadServer:58 - [] LiveReload server is running on port 35729
2022-09-28 09:50:26,889 INFO  DefaultSecurityFilterChain:55 - [] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@56e6818d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@684d2372, org.springframework.security.web.context.SecurityContextPersistenceFilter@29518548, org.springframework.security.web.header.HeaderWriterFilter@126f16c1, org.springframework.security.web.csrf.CsrfFilter@4e66e259, org.springframework.security.web.authentication.logout.LogoutFilter@2187262e, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2b56d4f2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6dde7e97, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@d028ae0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@43d2340d, org.springframework.security.web.session.SessionManagementFilter@5c15e883, org.springframework.security.web.access.ExceptionTranslationFilter@7c34a7f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@35164ed4]
2022-09-28 09:50:27,336 INFO  TomcatWebServer:220 - [] Tomcat started on port(s): 8081 (http) with context path ''
2022-09-28 09:50:27,864 INFO  StartupInfoLogger:61 - [] Started SpringBootCityClassifyProjectApplication in 10.478 seconds (JVM running for 11.344)
2022-09-28 09:50:39,669 INFO  DirectJDKLog:173 - [] Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-28 09:50:39,670 INFO  FrameworkServlet:525 - [] Initializing Servlet 'dispatcherServlet'
2022-09-28 09:50:39,673 INFO  FrameworkServlet:547 - [] Completed initialization in 3 ms
